id;artist;song;duration_sec;explicit;year;genre;popularity;;;;;;;;
1;Britney Spears;Oops!...I Did It Again;211;FALSE;2000;pop;77;;;;;;;;
2;blink-182;All The Small Things;167;FALSE;1999;rock, pop;79;;;;;;;;
3;Faith Hill;Breathe;251;FALSE;1999;pop, country;66;;;;;;;;
4;Bon Jovi;It's My Life;224;FALSE;2000;rock, metal;78;;;;;;;;
5;*NSYNC;Bye Bye Bye;201;FALSE;2000;pop;65;;;;;;;;
6;Sisqo;Thong Song;254;TRUE;1999;hip hop, pop, R&B;69;;;;;;;;
7;Eminem;The Real Slim Shady;284;TRUE;2000;hip hop;86;;;;;;;;
8;Robbie Williams;Rock DJ;259;FALSE;2000;pop, rock;68;;;;;;;;
9;Destiny's Child;Say My Name;271;FALSE;1999;pop, R&B;75;;;;;;;;
10;Modjo;Lady - Hear Me Tonight;307;FALSE;2001;Dance/Electronic;77;;;;;;;;
11;Gigi D'Agostino;L'Amour Toujours;239;FALSE;2011;pop;1;;;;;;;;
12;Eiffel 65;Move Your Body - Gabry Ponte Original Radio Edit;269;FALSE;1999;pop;56;;;;;;;;
13;Bomfunk MC's;Freestyler;306;FALSE;2000;pop;55;;;;;;;;
14;Sting;Desert Rose;286;FALSE;1999;rock, pop;62;;;;;;;;
15;Melanie C;Never Be The Same Again;294;FALSE;1999;pop, Dance/Electronic;61;;;;;;;;
16;Aaliyah;Try Again;284;FALSE;2002;hip hop, pop, R&B;53;;;;;;;;
17;Anastacia;I'm Outta Love - Radio Edit;245;FALSE;1999;pop;64;;;;;;;;
18;Alice Deejay;Better Off Alone;215;FALSE;2000;pop;73;;;;;;;;
19;Gigi D'Agostino;The Riddle;285;FALSE;1999;pop;64;;;;;;;;
20;Dr. Dre;The Next Episode;162;TRUE;1999;hip hop;82;;;;;;;;
21;Linkin Park;In the End;217;FALSE;2000;rock, metal;83;;;;;;;;
22;Tom Jones;Sexbomb;212;FALSE;1999;rock, Folk/Acoustic, easy listening;65;;;;;;;;
23;Sonique;It Feels So Good;241;FALSE;2000;pop;62;;;;;;;;
24;M.O.P.;Cold as Ice;244;TRUE;2000;hip hop;54;;;;;;;;
25;Melanie C;I Turn To You;352;FALSE;1999;pop, Dance/Electronic;54;;;;;;;;
26;Limp Bizkit;Take A Look Around;321;FALSE;2000;metal;72;;;;;;;;
27;Darude;Sandstorm;225;FALSE;2001;pop, Dance/Electronic;69;;;;;;;;
28;Da Brat;What'chu Like (feat. Tyrese);221;TRUE;2000;hip hop, pop, R&B;53;;;;;;;;
29;Moloko;The Time Is Now;318;FALSE;2000;pop, Dance/Electronic;54;;;;;;;;
30;Chicane;Don't Give Up;211;FALSE;2016;Dance/Electronic;47;;;;;;;;
31;DMX;Party Up;269;TRUE;1999;hip hop, pop;71;;;;;;;;
32;Debelah Morgan;Dance with Me;220;FALSE;2000;pop, R&B;49;;;;;;;;
33;Madonna;Music;226;FALSE;2000;pop;58;;;;;;;;
34;Ruff Endz;No More;243;FALSE;2000;R&B;52;;;;;;;;
35;Britney Spears;Born to Make You Happy;244;FALSE;1999;pop;58;;;;;;;;
36;Montell Jordan;Get It On Tonite;276;FALSE;1999;hip hop, pop, R&B;59;;;;;;;;
37;Kylie Minogue;Spinning Around;208;FALSE;2000;pop, Dance/Electronic;55;;;;;;;;
38;JAY-Z;Big Pimpin';283;TRUE;1999;hip hop;69;;;;;;;;
39;LeAnn Rimes;I Need You;230;FALSE;2001;pop, country;61;;;;;;;;
40;Avant;Separated;256;FALSE;2000;pop, R&B;55;;;;;;;;
41;Enrique Iglesias;Be With You;219;FALSE;1999;pop, latin;54;;;;;;;;
